DIM,THREADS,SPHERES,MEMORY,RENDER_TIME_MEDIAN,RENDER_TIME_MEAN,RENDER_TIME_SD
512,16,10,global,0.700,0.680,0.040
512,16,10,const,0.700,0.720,0.133
512,16,100,global,1.000,1.030,0.046
512,16,100,const,1.000,1.050,0.120
512,16,1000,global,4.500,4.530,0.046
512,16,1000,const,4.550,4.650,0.169
512,32,10,global,0.700,0.660,0.049
512,32,10,const,0.700,0.700,0.045
512,32,100,global,1.000,1.020,0.060
512,32,100,const,1.000,1.050,0.150
512,32,1000,global,4.250,4.290,0.221
512,32,1000,const,4.600,4.780,0.299
1024,16,10,global,2.100,2.070,0.078
1024,16,10,const,2.000,1.990,0.030
1024,16,100,global,3.400,3.410,0.083
1024,16,100,const,3.300,3.340,0.066
1024,16,1000,global,16.800,17.610,1.306
1024,16,1000,const,16.650,16.670,0.090
1024,32,10,global,2.100,2.060,0.049
1024,32,10,const,2.000,1.970,0.046
1024,32,100,global,3.400,3.410,0.083
1024,32,100,const,3.400,3.400,0.141
1024,32,1000,global,17.100,17.100,0.000
1024,32,1000,const,17.050,17.050,0.050
2048,16,10,global,7.400,7.360,0.156
2048,16,10,const,7.200,7.210,0.083
2048,16,100,global,12.700,12.680,0.040
2048,16,100,const,12.500,12.470,0.064
2048,16,1000,global,65.450,65.720,0.629
2048,16,1000,const,65.300,65.660,0.796
2048,32,10,global,7.350,7.380,0.117
2048,32,10,const,7.300,7.280,0.040
2048,32,100,global,12.700,12.710,0.070
2048,32,100,const,12.700,12.650,0.081
2048,32,1000,global,65.900,66.140,0.758
2048,32,1000,const,65.900,65.920,0.140
